,winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_KD,delta_sig_str_pct,delta_total_str_pct,delta_TD_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs
3746,CYNTHIA CALVILLO,AMANDA COOPER,04/03/2017,Submission,1.0,3:19,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 209: Woodley vs. Thompson 2,"Las Vegas, Nevada, USA",Orthodox,Switch,blue,0.0,25.0,24.13,100.0,3.0,0.0,107.0,-2.22,-14.29,100.0,24.07,0.0,0.0,-62.0,32.0,30.0,0.0,0.0,0.0,2.54,0.0,0.63,-3.0,0.32,16.0,0.32,6.0,43.0,-0.7
3758,SARA MCMANN,GINA MAZANY,19/02/2017,Submission,1.0,1:14,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Lewis vs. Browne,"Halifax, Nova Scotia, Canada",Orthodox,Southpaw,red,0.0,50.0,50.0,100.0,1.0,0.0,62.0,46.15,100.0,0.0,60.0,0.0,44.44,85.0,14.0,0.0,42.0,0.0,57.0,0.0,-5.08,-1.13,-2.0,-1.13,-3.0,0.0,2.0,17.0,0.2
3761,RANDA MARKOS,CARLA ESPARZA,19/02/2017,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Lewis vs. Browne,"Halifax, Nova Scotia, Canada",Orthodox,Orthodox,blue,0.0,19.0,22.2,-40.0,-1.0,1.0,-148.0,19.5,60.0,0.0,11.42,-33.33,12.5,4.0,-4.0,0.0,-19.0,-6.0,25.0,7.62,0.0,0.56,-1.0,0.35,6.0,-2.21,-7.0,9.0,-0.1
3765,GERMAINE DE RANDAMIE,HOLLY HOLM,11/02/2017,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Featherweight Title Bout,UFC 208: Holm vs. De Randamie,"Brooklyn, New York, USA",Orthodox,Southpaw,blue,0.0,11.0,12.66,0.0,0.0,0.0,-459.0,13.64,28.24,-0.79,5.47,9.92,0.0,12.0,15.0,-27.0,-18.0,18.0,0.0,2.54,5.08,-0.44,8.0,-0.66,8.0,-0.81,-30.0,-7.0,0.3
3776,FELICE HERRIG,ALEXA GRASSO,04/02/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Bermudez vs. The Korean Zombie,"Houston, Texas, USA",Orthodox,Orthodox,blue,0.0,-14.0,-14.74,50.0,-1.0,0.0,23.0,-8.95,-13.44,-52.42,-16.29,-16.67,60.0,7.0,19.0,-25.0,-11.0,6.0,5.0,-2.54,-2.54,-1.33,-7.0,1.23,-15.0,0.9,-10.0,12.0,0.3
3780,JESSICA ANDRADE,ANGELA HILL,04/02/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Bermudez vs. The Korean Zombie,"Houston, Texas, USA",Orthodox,Orthodox,red,-1.0,-2.0,-1.73,66.0,0.0,0.0,89.0,-3.35,4.48,0.0,-2.66,-2.2,-57.14,-3.0,5.0,-1.0,-6.0,11.0,-4.0,-5.08,-5.08,0.72,-1.0,0.28,-11.0,2.66,21.0,0.0,0.3
3783,TECIA PENNINGTON,BEC RAWLINGS,04/02/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Bermudez vs. The Korean Zombie,"Houston, Texas, USA",,Orthodox,red,0.0,18.0,22.33,0.0,0.0,0.0,140.0,14.04,23.93,14.81,19.3,62.5,-16.67,-1.0,-20.0,22.0,8.0,-7.0,-1.0,,,,,,,,,,
3785,VALENTINA SHEVCHENKO,JULIANNA PENA,28/01/2017,Submission,2.0,4:29,5 Rnd (5-5-5-5-5),Women's Bantamweight Bout,UFC on FOX: Shevchenko vs. Pena,"Denver, Colorado, USA",Southpaw,Orthodox,red,0.0,-1.0,11.41,80.0,1.0,0.0,-197.0,15.56,18.52,0.0,25.0,16.67,16.66,31.0,-28.0,-4.0,7.0,-39.0,31.0,-2.54,-7.62,0.18,3.0,0.33,9.0,-0.28,5.0,52.0,-0.5
3805,NINA NUNES,JOCELYN JONES-LYBARGER,15/01/2017,Submission,3.0,3:39,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Rodriguez vs. Penn,"Phoenix, Arizona, USA",,Orthodox,blue,0.0,17.0,19.05,100.0,2.0,0.0,508.0,19.86,15.56,-20.52,5.16,32.14,75.0,6.0,1.0,-7.0,-35.0,-2.0,37.0,,,,,,,,,,
3809,AMANDA NUNES,RONDA ROUSEY,30/12/2016,KO/TKO,1.0,0:48,5 Rnd (5-5-5-5-5),UFC Women's Bantamweight Title Bout,UFC 207: Nunes vs. Rousey,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,7.0,7.45,0.0,0.0,0.0,0.0,3.49,0.0,100.0,8.7,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,2.54,7.62,0.33,-1.0,-1.69,13.0,-3.76,-15.0,34.0,-3.9
