,winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_KD,delta_sig_str_pct,delta_total_str_pct,delta_TD_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs
1226,JOSELYNE EDWARDS,RAMONA PASCUAL,12/06/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Featherweight Bout,UFC 275: Teixeira vs. Prochazka,"Kallang, Singapore",Orthodox,,blue,0.0,4.0,4.98,-9.0,0.0,0.0,-10.0,-10.0,-17.0,-2.4,9.4,-12.02,0.0,-23.0,8.0,15.0,23.0,-23.0,0.0,,,,,,,,,,
1230,KARINE SILVA,POLIANA BOTELHO,04/06/2022,Submission,1.0,4:55,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Volkov vs. Rozenstruik,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,-48.0,-42.41,100.0,1.0,0.0,47.0,-40.45,-37.5,-72.73,-54.03,0.0,100.0,0.0,-2.0,2.0,-30.0,0.0,29.0,,,,,,,,,,
1233,KAROLINA KOWALKIEWICZ,FELICE HERRIG,04/06/2022,Submission,2.0,4:01,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Volkov vs. Rozenstruik,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,21.0,23.03,0.0,2.0,0.0,189.0,20.49,24.4,50.0,17.14,-5.56,88.89,4.0,-8.0,5.0,-20.0,10.0,9.0,-2.54,-2.54,1.64,3.0,0.81,7.0,-1.08,-18.0,3.0,-0.8
1240,ERIN BLANCHFIELD,JJ ALDRICH,04/06/2022,Submission,2.0,2:38,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Volkov vs. Rozenstruik,"Las Vegas, Nevada, USA",,Southpaw,red,0.0,3.0,6.85,-33.0,1.0,0.0,14.0,-5.78,40.0,61.54,2.33,16.67,0.0,-30.0,13.0,16.0,-1.0,1.0,0.0,,,,,,,,,,
1241,KETLEN VIEIRA,HOLLY HOLM,21/05/2022,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),Women's Bantamweight Bout,UFC Fight Night: Holm vs. Vieira,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,-5.0,-7.27,14.0,1.0,0.0,-519.0,12.04,0.29,-7.24,-12.59,3.16,100.0,30.0,-1.0,-29.0,-22.0,17.0,4.0,0.0,-2.54,-0.5,-2.0,1.04,-4.0,1.38,18.0,16.0,0.4
1244,TABATHA RICCI,POLYANA VIANA,21/05/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Holm vs. Vieira,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,8.0,-2.29,50.0,0.0,0.0,562.0,1.26,-41.07,8.58,3.12,-42.86,-20.0,-17.0,-21.0,38.0,-17.0,-8.0,25.0,,,,,,,,,,
1251,SAM HUGHES,ELISE REED,21/05/2022,KO/TKO,3.0,3:52,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Holm vs. Vieira,"Las Vegas, Nevada, USA",Orthodox,,blue,0.0,25.0,10.75,57.0,0.0,0.0,719.0,35.3,-40.0,100.0,1.7,-40.0,83.33,18.0,-28.0,9.0,-60.0,-10.0,69.0,,,,,,,,,,
1255,KATLYN CERMINARA,AMANDA RIBAS,14/05/2022,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Blachowicz vs. Rakic,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,-4.0,-10.31,-50.0,0.0,0.0,-283.0,1.42,10.67,-53.03,-4.74,15.47,-50.0,16.0,17.0,-33.0,-1.0,6.0,-5.0,,,,,,,,,,
1258,VIVIANE ARAUJO,ANDREA LEE,14/05/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Blachowicz vs. Rakic,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,-1.0,-8.0,-2.14,10.0,2.0,0.0,592.0,-12.63,12.59,0.0,-7.77,-63.64,-3.29,-8.0,4.0,4.0,6.0,-14.0,9.0,-5.08,-2.54,-0.61,-1.0,1.01,-5.0,0.66,19.0,37.0,-0.3
1260,VIRNA JANDIROBA,ANGELA HILL,14/05/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Blachowicz vs. Rakic,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-15.0,9.77,-13.0,0.0,-1.0,296.0,-8.33,-41.35,0.0,-14.13,-50.0,0.0,26.0,-26.0,0.0,2.0,-2.0,0.0,0.0,0.0,-3.27,-4.0,-1.9,-10.0,2.71,17.0,-3.0,1.9
1264,CARLA ESPARZA,ROSE NAMAJUNAS,07/05/2022,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Strawweight Title Bout,UFC 274: Oliveira vs. Gaethje,"Phoenix, Arizona, USA",Orthodox,Orthodox,blue,0.0,-5.0,-5.18,-82.0,0.0,0.0,12.0,-10.7,-13.64,28.57,-5.58,-40.0,0.0,-31.0,-3.0,34.0,-7.0,8.0,0.0,-10.16,-5.08,-1.84,2.0,-1.13,-7.0,1.53,-18.0,-2.0,-0.5
1269,MACY CHIASSON,NORMA DUMONT,07/05/2022,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Featherweight Bout,UFC 274: Oliveira vs. Gaethje,"Phoenix, Arizona, USA",Orthodox,Orthodox,red,0.0,-15.0,-3.06,50.0,0.0,0.0,428.0,-21.27,-18.46,-1.18,-13.02,23.08,0.0,-28.0,4.0,24.0,11.0,-11.0,0.0,10.16,12.7,-1.19,-6.0,-0.48,-26.0,-1.45,-21.0,-36.0,0.5
1273,TRACY CORTEZ,MELISSA GATTO,07/05/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 274: Oliveira vs. Gaethje,"Phoenix, Arizona, USA",Orthodox,Orthodox,red,0.0,13.0,17.05,16.0,0.0,0.0,277.0,8.04,23.81,43.33,-1.29,100.0,-25.93,-14.0,6.0,7.0,-52.0,5.0,45.0,0.0,,3.67,53.0,1.98,62.0,3.0,42.0,85.0,0.0
1275,LOOPY GODINEZ,ARIANE CARNELOSSI,07/05/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 274: Oliveira vs. Gaethje,"Phoenix, Arizona, USA",,Orthodox,blue,0.0,30.0,9.43,100.0,2.0,0.0,806.0,34.58,-16.67,-100.0,27.12,6.67,-10.0,1.0,10.0,-11.0,-21.0,-16.0,36.0,,,,,,,,,,
1287,SHANNA YOUNG,GINA MAZANY,30/04/2022,KO/TKO,2.0,3:11,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Font vs. Vera,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,-7.0,-7.46,-20.0,0.0,1.0,-25.0,13.04,-28.89,0.0,-13.53,44.44,63.64,38.0,-26.0,-12.0,-22.0,-6.0,28.0,2.54,-7.62,-0.4,10.0,2.21,-6.0,-4.41,-63.0,21.0,-0.3
1288,JESSICA ANDRADE,AMANDA LEMOS,23/04/2022,Submission,1.0,3:13,5 Rnd (5-5-5-5-5),Women's Strawweight Bout,UFC Fight Night: Lemos vs. Andrade,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,-8.0,-7.85,0.0,1.0,0.0,38.0,-33.33,100.0,-60.0,-7.85,0.0,0.0,-57.0,33.0,24.0,0.0,0.0,0.0,-7.62,-7.62,0.17,-15.0,-0.13,8.0,1.13,-43.0,-24.0,-0.1
1290,MAYCEE BARBER,MONTANA DE LA ROSA,23/04/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Lemos vs. Andrade,"Las Vegas, Nevada, USA",Switch,Orthodox,red,0.0,29.0,7.28,-25.0,0.0,0.0,65.0,36.97,11.11,100.0,26.92,13.68,-25.0,12.0,-18.0,6.0,-13.0,9.0,5.0,-5.08,-7.62,2.36,16.0,-0.39,5.0,-0.7,12.0,23.0,-1.0
1302,MAYRA BUENO SILVA,WU YANAN,16/04/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Luque vs. Muhammad,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,29.0,25.19,-100.0,2.0,0.0,-86.0,28.63,10.46,27.54,31.92,-25.0,-9.09,-3.0,-5.0,8.0,4.0,-1.0,-4.0,-5.08,0.0,-0.45,12.0,0.07,-4.0,-0.61,-22.0,7.0,1.3
1306,PANNIE KIANZAD,LINA LANSBERG,16/04/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Luque vs. Muhammad,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,-1.0,4.0,-4.74,100.0,0.0,0.0,128.0,2.14,21.39,50.0,3.33,2.61,0.0,-1.0,0.0,1.0,-4.0,4.0,0.0,0.0,2.54,2.38,-8.0,-0.08,13.0,-0.49,-19.0,33.0,0.1
1311,SAM HUGHES,ISTELA NUNES,16/04/2022,Decision - Majority,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Luque vs. Muhammad,"Las Vegas, Nevada, USA",Orthodox,,blue,0.0,2.0,19.45,40.0,0.0,0.0,206.0,10.06,0.91,-100.0,0.09,-26.19,18.42,30.0,-18.0,-12.0,-16.0,0.0,16.0,2.54,,4.0,37.0,10.4,49.0,0.0,0.0,0.0,0.0
1316,MACKENZIE DERN,TECIA PENNINGTON,09/04/2022,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 273: Volkanovski vs. The Korean Zombie,"Jacksonville, Florida, USA",Orthodox,,red,0.0,-29.0,-26.53,0.0,3.0,0.0,-30.0,-2.58,2.38,3.03,-31.22,100.0,50.0,59.0,-20.0,-38.0,-6.0,6.0,1.0,,,,,,,,,,
1320,RAQUEL PENNINGTON,ASPEN LADD,09/04/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 273: Volkanovski vs. The Korean Zombie,"Jacksonville, Florida, USA",Orthodox,Orthodox,blue,0.0,18.0,11.13,-50.0,0.0,0.0,-74.0,11.5,28.62,12.5,17.75,-0.46,0.0,-6.0,9.0,-2.0,-2.0,1.0,0.0,2.54,2.54,-1.6,-7.0,-1.64,17.0,-1.33,-47.0,-1.0,-0.5
1323,PIERA RODRIGUEZ,KAY HANSEN,09/04/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 273: Volkanovski vs. The Korean Zombie,"Jacksonville, Florida, USA",,Orthodox,red,0.0,16.0,11.16,50.0,0.0,0.0,119.0,7.26,31.86,19.04,10.69,33.33,0.0,-18.0,14.0,6.0,-12.0,4.0,9.0,,,,,,,,,,
1326,ALEXA GRASSO,JOANNE WOOD,26/03/2022,Submission,1.0,3:57,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Blaydes vs. Daukaus,"Columbus, Ohio, USA",Orthodox,,blue,0.0,-12.0,-3.34,100.0,1.0,0.0,135.0,-14.67,-66.67,20.0,-18.56,66.67,0.0,17.0,-11.0,-5.0,-13.0,12.0,1.0,,,,,,,,,,
1331,SARA MCMANN,KAROL ROSA,26/03/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Blaydes vs. Daukaus,"Columbus, Ohio, USA",Orthodox,Orthodox,red,0.0,-2.0,-3.67,16.0,0.0,-1.0,511.0,-1.99,-25.0,-6.67,-18.67,-12.5,28.78,-14.0,10.0,5.0,-21.0,3.0,18.0,2.54,-2.54,-5.41,-7.0,-3.57,0.0,2.41,5.0,-40.0,0.5
1334,MANON FIOROT,JENNIFER MAIA,26/03/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Blaydes vs. Daukaus,"Columbus, Ohio, USA",Orthodox,Orthodox,blue,0.0,30.0,24.61,25.0,0.0,0.0,81.0,21.63,16.48,0.0,30.99,33.33,0.0,-14.0,4.0,9.0,10.0,-14.0,4.0,7.62,,2.46,14.0,-1.66,27.0,1.3,50.0,44.0,-0.2
1341,MOLLY MCCANN,LUANA CAROLINA,19/03/2022,KO/TKO,3.0,1:52,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Volkov vs. Aspinall,"London, England, United Kingdom",Orthodox,Orthodox,red,1.0,5.0,4.12,100.0,0.0,0.0,243.0,14.52,-6.84,0.0,8.05,-11.69,100.0,21.0,-19.0,-2.0,8.0,-10.0,2.0,-5.08,-17.78,-1.14,0.0,0.53,18.0,1.64,29.0,-72.0,-1.7
1347,ELISE REED,CORY MCKENNA,19/03/2022,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Volkov vs. Aspinall,"London, England, United Kingdom",,Orthodox,blue,0.0,17.0,16.86,-42.0,0.0,0.0,-204.0,9.57,-5.0,11.45,20.56,-23.33,-12.5,-31.0,4.0,26.0,12.0,-5.0,-8.0,,,,,,,,,,
1356,JJ ALDRICH,GILLIAN ROBERTSON,12/03/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Santos vs. Ankalaev,"Las Vegas, Nevada, USA",Southpaw,Orthodox,red,0.0,13.0,11.96,-16.0,0.0,1.0,163.0,28.13,50.0,22.73,12.32,-5.68,100.0,61.0,-29.0,-31.0,-5.0,2.0,3.0,0.0,10.16,1.71,-10.0,2.45,10.0,-1.84,-6.0,57.0,-0.9
1359,MIRANDA MAVERICK,SABINA MAZO,12/03/2022,Submission,2.0,2:15,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Santos vs. Ankalaev,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,7.0,11.56,57.0,1.0,0.0,242.0,6.16,8.33,1.79,4.6,0.0,50.0,-1.0,4.0,-4.0,-16.0,0.0,15.0,-10.16,-12.7,3.24,7.0,2.09,2.0,-0.81,-80.0,-66.0,-0.2
1369,MARINA RODRIGUEZ,YAN XIAONAN,05/03/2022,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 272: Covington vs. Masvidal,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-6.0,-7.99,-50.0,0.0,0.0,-52.0,-7.53,16.96,-13.34,-7.25,-0.51,0.0,-3.0,13.0,-10.0,-4.0,4.0,0.0,2.54,5.08,-1.56,8.0,-0.47,-10.0,-0.64,-42.0,-16.0,0.2
1371,MARYNA MOROZ,MARIYA AGAPOVA,05/03/2022,Submission,2.0,3:27,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 272: Covington vs. Masvidal,"Las Vegas, Nevada, USA",Orthodox,Southpaw,red,0.0,7.0,-14.8,40.0,3.0,-1.0,363.0,16.97,-12.5,0.0,-1.67,0.0,70.37,32.0,-31.0,0.0,-18.0,-50.0,67.0,2.54,-2.54,0.39,-19.0,0.0,6.0,-0.67,-48.0,14.0,-0.2
1378,PRISCILA CACHOEIRA,JI YEON KIM,26/02/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Makhachev vs. Green,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,1.0,1.31,100.0,0.0,0.0,22.0,-0.86,-3.57,-3.33,-1.11,47.12,0.0,-12.0,14.0,-2.0,-9.0,9.0,0.0,0.0,-17.78,-0.66,3.0,2.99,-15.0,0.0,0.0,27.0,0.0
1382,JOSIANE NUNES,RAMONA PASCUAL,26/02/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Featherweight Bout,UFC Fight Night: Makhachev vs. Green,"Las Vegas, Nevada, USA",,,red,2.0,-8.0,-10.11,-30.0,0.0,0.0,-178.0,5.28,-7.58,-9.09,-7.16,-29.41,-6.15,36.0,-33.0,-3.0,-2.0,1.0,2.0,,,,,,,,,,
1393,STEPHANIE EGGER,JESSICA-ROSE CLARK,19/02/2022,Submission,1.0,3:44,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Walker vs. Hill,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,0.0,8.37,0.0,1.0,0.0,-40.0,0.0,0.0,-50.0,-50.0,0.0,83.33,50.0,0.0,-50.0,-100.0,0.0,100.0,2.54,10.16,-4.01,-20.0,-2.65,-8.0,-0.01,-39.0,-33.0,-0.4
1395,GLORIA DE PAULA,DIANA BELBITA,19/02/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Walker vs. Hill,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,16.0,14.19,20.0,0.0,0.0,280.0,23.37,14.44,5.88,13.13,-10.53,0.0,30.0,-13.0,-17.0,-10.0,10.0,0.0,-5.08,-2.54,-2.48,15.0,-5.29,18.0,-1.69,-66.0,7.0,1.0
1405,CASEY O'NEILL,ROXANNE MODAFFERI,12/02/2022,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 271: Adesanya vs. Whittaker 2,"Houston, Texas, USA",,Orthodox,blue,0.0,25.0,20.28,-50.0,0.0,0.0,-64.0,24.04,8.0,33.33,25.86,-6.06,0.0,0.0,-7.0,7.0,5.0,-5.0,0.0,-2.54,0.0,2.51,42.0,-3.19,-11.0,5.49,43.0,-30.0,1.6
1422,ALEXIS DAVIS,JULIJA STOLIARENKO,05/02/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Hermansson vs. Strickland,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,21.0,18.05,100.0,-3.0,0.0,549.0,21.4,-7.35,-4.55,16.84,0.0,-21.82,-7.0,-15.0,21.0,-43.0,0.0,43.0,-2.54,5.08,2.08,13.0,0.31,5.0,0.94,40.0,-32.0,0.3
1435,VANESSA DEMOPOULOS,SILVANA GOMEZ JUAREZ,22/01/2022,Submission,1.0,2:25,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 270: Ngannou vs. Gane,"Anaheim, California, USA",Orthodox,Orthodox,blue,-1.0,-22.0,-22.23,0.0,2.0,0.0,-71.0,-56.25,50.0,0.0,-16.67,0.0,-58.33,-90.0,50.0,40.0,70.0,0.0,-70.0,-2.54,,1.6,41.0,3.13,50.0,0.0,0.0,0.0,2.0
1436,JASMINE JASUDAVICIUS,KAY HANSEN,22/01/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 270: Ngannou vs. Gane,"Anaheim, California, USA",,Orthodox,blue,0.0,2.0,13.57,52.0,0.0,1.0,281.0,3.3,1.9,-80.0,-8.53,-13.46,83.33,4.0,6.0,-9.0,-39.0,10.0,30.0,,,,,,,,,,
1440,KATLYN CERMINARA,JENNIFER MAIA,15/01/2022,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Kattar vs. Chikadze,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,10.0,9.76,25.0,0.0,0.0,173.0,10.67,3.12,-2.22,11.03,-33.33,0.0,2.0,20.0,-21.0,2.0,-2.0,0.0,,,,,,,,,,
1449,AMANDA LEMOS,ANGELA HILL,18/12/2021,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Lewis vs. Daukaus,"Las Vegas, Nevada, USA",Southpaw,Orthodox,red,1.0,-2.0,-3.25,-14.0,0.0,-1.0,-133.0,1.78,-3.25,16.07,2.95,-16.66,50.0,12.0,-15.0,4.0,4.0,-19.0,16.0,2.54,2.54,0.55,14.0,0.41,-19.0,1.53,64.0,24.0,0.4
1455,MELISSA GATTO,SIJARA EUBANKS,18/12/2021,KO/TKO,3.0,0:45,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Lewis vs. Daukaus,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,1.0,19.0,23.27,-25.0,0.0,0.0,-184.0,13.71,50.0,80.0,29.68,0.0,-3.33,-7.0,-17.0,23.0,41.0,-3.0,-39.0,2.54,,-4.52,-43.0,-3.69,-57.0,-1.88,-46.0,-65.0,-0.4
1457,RAQUEL PENNINGTON,MACY CHIASSON,18/12/2021,Submission,2.0,3:07,3 Rnd (5-5-5),Women's Featherweight Bout,UFC Fight Night: Lewis vs. Daukaus,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,26.0,13.42,-50.0,1.0,0.0,-9.0,21.21,21.43,66.67,25.67,37.5,-100.0,-13.0,10.0,3.0,0.0,4.0,-3.0,-10.16,-12.7,-0.54,-1.0,1.03,17.0,0.14,7.0,1.0,0.2
1461,JULIANNA PENA,AMANDA NUNES,11/12/2021,Submission,2.0,3:26,5 Rnd (5-5-5-5-5),UFC Women's Bantamweight Title Bout,UFC 269: Oliveira vs. Poirier,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,12.0,9.43,0.0,1.0,0.0,-190.0,14.21,43.59,-81.82,12.85,100.0,-100.0,9.0,10.0,-19.0,3.0,1.0,-4.0,-5.08,0.0,-1.7,-4.0,-0.75,-4.0,-0.01,0.0,-61.0,-0.1
1470,ERIN BLANCHFIELD,MIRANDA MAVERICK,11/12/2021,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 269: Oliveira vs. Poirier,"Las Vegas, Nevada, USA",,Southpaw,blue,0.0,34.0,27.27,87.0,1.0,0.0,714.0,41.11,28.57,0.0,19.68,40.0,85.19,29.0,-4.0,-24.0,-49.0,-1.0,50.0,,,,,,,,,,
1473,GILLIAN ROBERTSON,PRISCILA CACHOEIRA,11/12/2021,Submission,1.0,4:59,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 269: Oliveira vs. Poirier,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,19.0,22.38,25.0,1.0,0.0,163.0,19.45,0.0,100.0,0.0,0.0,-12.5,-4.0,-6.0,9.0,-62.0,1.0,60.0,-5.08,-5.08,-1.79,14.0,-5.83,9.0,2.64,46.0,-69.0,0.9
1483,CHEYANNE VLISMAS,MALLORY MARTIN,04/12/2021,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Font vs. Aldo,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,11.0,6.67,0.0,0.0,0.0,-166.0,11.35,-10.27,35.71,13.84,-8.93,0.0,-5.0,2.0,3.0,9.0,-9.0,0.0,,,,,,,,,,
1487,KETLEN VIEIRA,MIESHA TATE,20/11/2021,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Women's Bantamweight Bout,UFC Fight Night: Vieira vs. Tate,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-2.0,1.83,-16.0,0.0,0.0,-170.0,9.38,19.32,23.08,-0.97,13.89,0.0,42.0,-37.0,-5.0,2.0,-2.0,0.0,5.08,5.08,0.73,-5.0,1.13,3.0,0.13,17.0,40.0,-1.1
1489,TAILA SANTOS,JOANNE WOOD,20/11/2021,Submission,1.0,4:49,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Vieira vs. Tate,"Las Vegas, Nevada, USA",Orthodox,,blue,2.0,11.0,12.06,0.0,2.0,0.0,77.0,23.43,0.0,21.71,6.43,-100.0,61.11,41.0,-1.0,-39.0,-33.0,-3.0,36.0,,,,,,,,,,
1494,LOOPY GODINEZ,LOMA LOOKBOONMEE,20/11/2021,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Vieira vs. Tate,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,13.0,7.71,-9.0,1.0,0.0,279.0,4.11,66.67,25.0,16.22,8.33,-50.0,7.0,0.0,-7.0,0.0,0.0,0.0,,,,,,,,,,
1497,LUANA PINHEIRO,SAM HUGHES,20/11/2021,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Vieira vs. Tate,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,1.0,-3.0,-4.81,66.0,1.0,0.0,108.0,-0.19,28.73,8.33,-3.87,-25.0,71.43,23.0,12.0,-35.0,-6.0,-2.0,8.0,-7.62,-5.08,-0.43,3.0,-8.97,29.0,0.0,0.0,0.0,0.0
1500,FELICIA SPENCER,LEAH LETSON,13/11/2021,KO/TKO,3.0,4:25,3 Rnd (5-5-5),Women's Featherweight Bout,UFC Fight Night: Holloway vs. Rodriguez,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,24.0,5.88,-70.0,0.0,1.0,657.0,30.65,17.31,-100.0,-15.42,29.53,75.0,20.0,-14.0,-5.0,-68.0,46.0,21.0,-2.54,-7.62,-1.85,5.0,1.77,-20.0,0.64,10.0,-86.0,0.3
1504,ANDREA LEE,CYNTHIA CALVILLO,13/11/2021,KO/TKO,2.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Holloway vs. Rodriguez,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,10.0,9.76,-33.0,0.0,0.0,-39.0,11.5,21.02,-8.89,9.38,50.0,0.0,16.0,-9.0,-8.0,-2.0,1.0,0.0,5.08,12.7,1.4,8.0,0.31,-2.0,-0.18,1.0,-14.0,-0.6
1506,CORTNEY CASEY,LIANA JOJUA,13/11/2021,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Holloway vs. Rodriguez,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,18.0,17.27,-66.0,0.0,0.0,-93.0,14.98,3.56,30.0,19.69,50.0,-9.53,-17.0,2.0,15.0,8.0,0.0,-7.0,7.62,12.7,1.8,-1.0,-0.67,4.0,-1.21,-39.0,-12.0,-1.6
1510,ROSE NAMAJUNAS,ZHANG WEILI,06/11/2021,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Strawweight Title Bout,UFC 268: Usman vs. Covington 2,"New York City, New York, USA",Orthodox,Switch,red,0.0,4.0,-0.2,55.0,0.0,1.0,203.0,11.37,-16.91,11.67,-2.26,37.5,25.07,23.0,-3.0,-20.0,-8.0,0.0,7.0,2.54,5.08,-2.25,-5.0,-0.45,7.0,0.65,30.0,-50.0,0.3
