,winner_winner_name,winner_loser_name,winner_event_date,winner_method,winner_round,winner_time,winner_time_format,winner_bout_type,winner_event_name,winner_event_location,winner_winner_stance,winner_loser_stance,winner_winner,winner_delta_KD,winner_delta_sig_str_pct,winner_delta_total_str_pct,winner_delta_TD_pct,winner_delta_sub_att,winner_delta_rev,winner_delta_ctrl,winner_delta_sig_str_head_acc_pct,winner_delta_sig_str_body_acc_pct,winner_delta_sig_str_leg_acc_pct,winner_delta_sig_str_distance_acc_pct,winner_delta_sig_str_clinch_acc_pct,winner_delta_sig_str_ground_acc_pct,winner_delta_sig_str_head_tar_pct,winner_delta_sig_str_body_tar_pct,winner_delta_sig_str_leg_tar_pct,winner_delta_sig_str_distance_pos_pct,winner_delta_sig_str_clinch_pos_pct,winner_delta_sig_str_ground_pos_pct,winner_delta_height,winner_delta_reach,winner_delta_slpm_cs,winner_delta_str_acc_cs,winner_delta_sapm_cs,winner_delta_str_def_cs,winner_delta_td_avg_cs,winner_delta_td_acc_cs,winner_delta_td_def_cs,winner_delta_sub_avg_cs,winner_Unnamed: 0,winner_fighter_name,winner_Height,winner_Weight,winner_Reach,winner_SLpM,winner_Str_Acc,winner_SApM,winner_Str_Def,winner_TD_Avg,winner_TD_Acc,winner_TD_Def,winner_Sub_Avg,winner_Stance_Open Stance,winner_Stance_Orthodox,winner_Stance_Southpaw,winner_Stance_Switch,winner_Age,winner_Female
20,valentina shevchenko,alexa grasso,14/09/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Flyweight Title Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,38.0,20.38,41.0,-2.0,0.0,915.0,42.71,30.0,56.25,37.84,0.0,-33.33,40.0,-10.0,-30.0,-2.0,-1.0,3.0,0.0,0.0,-1.98,7.0,-1.58,-2.0,1.93,18.0,15.0,-0.3,833,valentina shevchenko,65,125.0,65,2.98,0.5,2.03,0.62,2.21,0.58,0.75,0.3,0,0,1,0,38.0,1
21,sean brady,gilbert burns,07/09/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Welterweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,11.0,14.14,25.0,0.0,0.0,471.0,19.47,-15.48,20.45,18.42,-3.62,50.0,21.0,-31.0,10.0,22.0,-23.0,0.0,0.0,2.54,1.5,10.0,0.56,9.0,0.61,25.0,50.0,0.5,92,sean brady,70,170.0,70,4.72,0.55,3.6,0.63,2.69,0.6,1.0,1.2,0,1,0,0,33.0,0
22,steve garcia,kyle nelson,07/09/2024,KO/TKO,1.0,3:59,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",Southpaw,Switch,red,0.0,9.0,-23.21,0.0,0.0,1.0,-37.0,57.14,100.0,0.0,16.67,0.0,58.82,90.0,4.0,-96.0,-91.0,0.0,90.0,2.54,10.16,0.68,14.0,-4.3,-11.0,-0.35,13.0,40.0,-1.3,297,steve garcia,72,155.0,72,4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6,0,0,1,0,33.0,0
23,cody durden,matt schnell,07/09/2024,Submission,2.0,0:29,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,-5.0,-2.51,0.0,1.0,0.0,10.0,-1.37,-40.0,-71.43,-3.32,-100.0,0.0,11.0,1.0,-12.0,5.0,-5.0,0.0,-2.54,-7.62,-1.09,12.0,-0.09,-21.0,2.8,-7.0,-3.0,-0.4,229,cody durden,67,125.0,67,3.11,0.48,3.93,0.41,3.28,0.26,0.5,0.8,0,0,1,0,35.0,0
24,gerald meerschaert,edmen shahbazyan,24/08/2024,Submission,2.0,4:12,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,5.0,14.93,16.0,1.0,0.0,-120.0,0.35,-3.18,0.0,4.29,-5.56,-38.64,-12.0,-5.0,17.0,41.0,-6.0,-35.0,-2.54,7.62,-0.55,-9.0,-0.7,2.0,-2.11,3.0,-12.0,1.2,574,gerald meerschaert,73,185.0,73,3.3,0.42,3.61,0.51,2.33,0.43,0.46,1.7,0,0,1,0,38.0,0
25,dan hooker,mateusz gamrot,17/08/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",Switch,Southpaw,blue,0.0,-4.0,-6.52,-33.0,0.0,0.0,-211.0,-10.12,0.0,-100.0,-7.36,-33.33,31.11,-24.0,27.0,-3.0,0.0,3.0,-3.0,5.08,12.7,1.48,7.0,2.45,-5.0,-4.28,3.0,-21.0,0.3,389,dan hooker,72,155.0,72,4.95,0.48,4.92,0.51,0.72,0.34,0.79,0.3,0,0,0,1,36.0,0
26,ricardo ramos,josh culibao,17/08/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",Orthodox,Orthodox,blue,-1.0,-33.0,-32.23,100.0,1.0,0.0,159.0,-26.57,-35.45,-47.44,-30.24,0.0,-78.57,2.0,10.0,-12.0,10.0,6.0,-15.0,-2.54,-2.54,0.48,1.0,-1.02,10.0,1.99,56.0,-29.0,0.7,740,ricardo ramos,69,145.0,69,3.0,0.39,3.28,0.58,1.99,0.56,0.71,0.7,0,1,0,0,30.0,0
27,casey o'neill,luana santos,17/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",,,red,0.0,1.0,4.68,-20.0,1.0,0.0,0.0,2.14,4.34,0.0,-4.64,71.43,100.0,9.0,-10.0,1.0,-17.0,6.0,10.0,,,,,,,,,,,653,casey o'neill,66,125.0,66,5.64,0.72,1.84,0.42,6.91,0.66,0.0,1.7,0,0,0,0,28.0,1
28,serghei spivac,marcin tybura,10/08/2024,Submission,1.0,1:44,5 Rnd (5-5-5-5-5),Heavyweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,60.0,22.73,100.0,1.0,-1.0,-9.0,50.0,0.0,100.0,60.0,0.0,0.0,33.0,-34.0,0.0,67.0,-34.0,-33.0,0.0,0.0,-0.12,-1.0,-0.41,2.0,2.08,18.0,-7.0,0.2,878,serghei spivac,75,260.0,75,3.58,0.49,2.84,0.58,3.7,0.63,0.75,0.3,0,1,0,0,31.0,0
29,chris gutierrez,quang le,10/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,52.0,41.63,-18.0,0.0,0.0,-233.0,56.74,17.5,-1.28,51.51,100.0,-16.67,1.0,-25.0,23.0,5.0,1.0,-6.0,,,,,,,,,,,341,chris gutierrez,69,145.0,69,4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2,0,1,0,0,34.0,0
