,winner_winner_name,winner_loser_name,winner_event_date,winner_method,winner_round,winner_time,winner_time_format,winner_bout_type,winner_event_name,winner_event_location,winner_winner_stance,winner_loser_stance,winner_winner,winner_delta_KD,winner_delta_sig_str_pct,winner_delta_total_str_pct,winner_delta_TD_pct,winner_delta_sub_att,winner_delta_rev,winner_delta_ctrl,winner_delta_sig_str_head_acc_pct,winner_delta_sig_str_body_acc_pct,winner_delta_sig_str_leg_acc_pct,winner_delta_sig_str_distance_acc_pct,winner_delta_sig_str_clinch_acc_pct,winner_delta_sig_str_ground_acc_pct,winner_delta_sig_str_head_tar_pct,winner_delta_sig_str_body_tar_pct,winner_delta_sig_str_leg_tar_pct,winner_delta_sig_str_distance_pos_pct,winner_delta_sig_str_clinch_pos_pct,winner_delta_sig_str_ground_pos_pct,winner_delta_height,winner_delta_reach,winner_delta_slpm_cs,winner_delta_str_acc_cs,winner_delta_sapm_cs,winner_delta_str_def_cs,winner_delta_td_avg_cs,winner_delta_td_acc_cs,winner_delta_td_def_cs,winner_delta_sub_avg_cs,winner_Unnamed: 0,winner_fighter_name,winner_Height,winner_Weight,winner_Reach,winner_SLpM,winner_Str_Acc,winner_SApM,winner_Str_Def,winner_TD_Avg,winner_TD_Acc,winner_TD_Def,winner_Sub_Avg,winner_Stance_Open Stance,winner_Stance_Orthodox,winner_Stance_Southpaw,winner_Stance_Switch,winner_Age,winner_Female
2980,iuri alcantara,russell doane,13/09/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",Southpaw,Orthodox,red,0.0,17.0,-3.45,0.0,0.0,-1.0,-388.0,5.43,-30.43,0.0,34.13,50.0,19.05,-52.0,52.0,0.0,56.0,4.0,-60.0,5.08,2.54,0.97,5.0,1.11,-4.0,-0.67,17.0,8.0,0.0,8,iuri alcantara,69,135.0,69,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0,0,1,0,45.0,0
2981,jessica andrade,larissa pacheco,13/09/2014,Submission,1.0,4:33,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,red,0.0,33.0,23.51,100.0,2.0,0.0,261.0,32.01,0.0,0.0,-12.5,-100.0,40.0,-10.0,10.0,0.0,-45.0,-16.0,61.0,-15.24,,5.17,30.0,1.12,-2.0,3.11,57.0,76.0,0.4,28,jessica andrade,61,115.0,61,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,0,1,0,0,34.0,1
2982,godofredo pepey,dashon johnson,13/09/2014,Submission,1.0,4:29,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,red,0.0,-23.0,-30.47,-50.0,2.0,1.0,-55.0,-5.56,-100.0,-100.0,-22.86,-100.0,0.0,43.0,-28.0,-14.0,-5.0,-14.0,20.0,0.0,,1.31,-31.0,-0.6,12.0,-0.48,-26.0,-28.0,0.7,694,godofredo pepey,67,145.0,67,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5,0,1,0,0,38.0,0
2983,george sullivan,igor araujo,13/09/2014,KO/TKO,2.0,2:31,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,blue,0.0,28.0,41.02,22.0,0.0,0.0,324.0,41.54,60.0,20.0,-16.01,0.0,97.3,49.0,-7.0,-44.0,-76.0,-8.0,83.0,-2.54,-10.16,2.01,-3.0,-0.44,8.0,0.51,5.0,16.0,0.1,896,george sullivan,72,170.0,72,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,0,1,0,0,45.0,0
2984,francisco trinaldo,leandro silva,13/09/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",Southpaw,Orthodox,red,0.0,1.0,-3.91,-50.0,-1.0,1.0,-171.0,-10.0,22.07,0.0,4.86,-16.67,66.67,-13.0,7.0,7.0,-8.0,-3.0,11.0,0.0,-5.08,0.72,-4.0,0.48,-3.0,-0.67,9.0,-4.0,0.2,924,francisco trinaldo,69,155.0,69,3.11,0.44,2.56,0.6,1.09,0.46,0.61,0.6,0,0,1,0,47.0,0
2985,rani yahya,johnny bedford,13/09/2014,Submission,2.0,2:04,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,red,0.0,1.0,-4.27,50.0,2.0,0.0,-196.0,8.11,0.0,100.0,24.72,50.0,-100.0,17.0,-32.0,15.0,59.0,7.0,-66.0,-10.16,-10.16,-2.96,-13.0,-0.05,-13.0,1.06,-29.0,-38.0,2.0,982,rani yahya,66,135.0,66,1.57,0.37,1.7,0.5,2.89,0.33,0.24,2.0,0,1,0,0,41.0,0
2986,jacare souza,gegard mousasi,05/09/2014,Submission,3.0,4:30,5 Rnd (5-5-5-5-5),Middleweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Orthodox,red,0.0,11.0,-2.96,40.0,1.0,0.0,634.0,-2.86,-18.18,0.0,-1.19,19.69,100.0,-42.0,25.0,18.0,-23.0,-11.0,34.0,-2.54,-10.16,-1.22,-4.0,1.64,-6.0,0.96,-21.0,1.0,0.3,874,jacare souza,73,185.0,73,2.53,0.46,2.85,0.62,2.55,0.39,0.6,1.4,0,1,0,0,46.0,0
2987,ben rothwell,alistair overeem,05/09/2014,KO/TKO,1.0,2:19,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Orthodox,blue,1.0,-33.0,-26.49,0.0,0.0,0.0,11.0,-23.33,0.0,-100.0,-40.19,-100.0,100.0,63.0,-24.0,-40.0,-20.0,-10.0,29.0,0.0,-5.08,-0.12,-23.0,2.13,-11.0,-0.79,-22.0,-4.0,-0.5,786,ben rothwell,76,265.0,76,3.55,0.41,4.57,0.46,0.63,0.33,0.69,0.3,0,1,0,0,44.0,0
2988,joe lauzon,michael chiesa,05/09/2014,TKO - Doctor's Stoppage,2.0,2:14,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Southpaw,red,0.0,-1.0,3.64,3.0,0.0,1.0,82.0,10.95,9.09,-100.0,-7.15,21.43,70.0,34.0,-14.0,-20.0,-16.0,-17.0,33.0,-7.62,-10.16,0.95,-1.0,3.68,0.0,-1.21,-7.0,-14.0,1.1,482,joe lauzon,70,155.0,70,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0,0,1,0,0,41.0,0
2989,john moraga,justin scoggins,05/09/2014,Submission,2.0,0:47,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Southpaw,red,0.0,-39.0,-23.84,-100.0,3.0,0.0,-271.0,-21.22,-100.0,-50.0,-35.42,0.0,-100.0,4.0,-23.0,20.0,16.0,0.0,-15.0,-2.54,0.0,-0.99,-8.0,0.39,1.0,-2.8,-40.0,-38.0,0.6,599,john moraga,66,125.0,66,2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1,0,1,0,0,42.0,0
2990,al iaquinta,rodrigo damm,05/09/2014,KO/TKO,3.0,2:26,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Orthodox,red,1.0,10.0,9.88,0.0,0.0,0.0,-4.0,6.25,-29.48,66.67,9.27,66.67,100.0,-17.0,7.0,11.0,-4.0,2.0,1.0,7.62,-2.54,0.56,4.0,-1.17,4.0,0.2,2.0,-6.0,-0.1,400,al iaquinta,70,155.0,70,4.06,0.4,4.44,0.61,0.64,0.18,0.74,0.2,0,1,0,0,38.0,0
2991,rafael natal,chris camozzi,05/09/2014,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Orthodox,red,0.0,-10.0,-9.42,16.0,0.0,0.0,-1.0,-30.89,-27.27,3.33,-10.85,-8.33,0.0,-42.0,30.0,12.0,-2.0,2.0,0.0,-5.08,5.08,-0.47,3.0,-0.48,1.0,2.28,15.0,20.0,0.0,628,rafael natal,72,185.0,72,3.1,0.47,2.48,0.57,2.55,0.34,0.77,0.5,0,1,0,0,43.0,0
2992,chris beal,tateki matsuda,05/09/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Orthodox,red,0.0,0.0,-3.47,75.0,1.0,0.0,216.0,8.51,30.0,37.93,-15.76,30.31,-34.29,42.0,-1.0,-41.0,-57.0,13.0,44.0,0.0,,0.25,1.0,-0.25,-8.0,1.6,58.0,62.0,0.2,68,chris beal,67,125.0,67,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,0,1,0,0,40.0,0
2993,chas skelly,sean soriano,05/09/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",Orthodox,Orthodox,blue,0.0,-14.0,13.15,57.0,7.0,-1.0,419.0,-13.64,-28.57,0.0,-30.77,-4.76,44.53,13.0,-8.0,-5.0,-12.0,-5.0,17.0,5.08,,-1.13,-21.0,1.04,-4.0,0.44,-8.0,-22.0,2.4,853,chas skelly,71,145.0,71,2.02,0.4,3.35,0.48,1.71,0.34,0.33,2.4,0,1,0,0,40.0,0
2994,tj dillashaw,joe soto,30/08/2014,KO/TKO,5.0,2:20,5 Rnd (5-5-5-5-5),UFC Bantamweight Title Bout,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",Orthodox,Orthodox,red,1.0,2.0,2.02,66.0,0.0,0.0,112.0,-0.55,-8.33,16.19,0.77,60.0,25.0,-11.0,5.0,6.0,-5.0,3.0,0.0,0.0,5.08,2.01,0.0,-2.34,-2.0,0.83,16.0,16.0,-0.9,215,tj dillashaw,66,125.0,66,5.37,0.41,3.03,0.65,1.68,0.37,0.86,1.0,0,1,0,0,40.0,0
2995,tony ferguson,danny castillo,30/08/2014,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",Orthodox,Orthodox,red,0.0,7.0,28.3,-25.0,0.0,0.0,-562.0,-6.42,100.0,66.67,6.84,0.0,80.0,-57.0,13.0,43.0,4.0,0.0,-4.0,5.08,12.7,2.89,3.0,1.98,-3.0,-2.5,4.0,7.0,0.9,263,tony ferguson,71,155.0,71,5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1,0,1,0,0,42.0,0
2996,diego ferreira,ramsey nijem,30/08/2014,KO/TKO,2.0,1:53,3 Rnd (5-5-5),Lightweight Bout,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",Orthodox,Orthodox,blue,1.0,4.0,1.47,-50.0,2.0,1.0,-54.0,5.36,-20.45,-33.33,-6.38,0.0,72.73,-4.0,8.0,-3.0,-19.0,0.0,20.0,-5.08,-2.54,1.8,-7.0,1.64,-4.0,-4.43,-36.0,13.0,-0.2,265,diego ferreira,69,155.0,69,4.85,0.37,3.26,0.58,0.89,0.26,0.68,0.9,0,1,0,0,41.0,0
2997,yancy medeiros,damon jackson,30/08/2014,Submission,2.0,1:54,3 Rnd (5-5-5),Lightweight Bout,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",Orthodox,Switch,red,0.0,12.0,14.92,0.0,2.0,0.0,-100.0,9.76,27.88,0.0,9.17,24.44,0.0,0.0,12.0,-14.0,-3.0,2.0,0.0,-2.54,10.16,1.59,0.0,1.75,1.0,-1.02,5.0,41.0,-2.2,572,yancy medeiros,70,155.0,70,4.05,0.35,5.38,0.46,0.12,0.25,0.76,0.5,0,1,0,0,38.0,0
2998,derek brunson,lorenz larkin,30/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",Southpaw,Orthodox,blue,0.0,-10.0,18.02,33.0,1.0,0.0,642.0,7.87,13.33,0.0,-25.94,16.67,100.0,48.0,-49.0,0.0,-42.0,-9.0,50.0,5.08,12.7,-0.07,1.0,-0.02,-10.0,2.84,-9.0,15.0,0.4,104,derek brunson,73,185.0,73,3.46,0.47,2.72,0.53,3.11,0.33,0.94,0.5,0,0,1,0,42.0,0
2999,chris wade,cain carrizosa,30/08/2014,Submission,1.0,1:12,3 Rnd (5-5-5),Lightweight Bout,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",Orthodox,Orthodox,red,0.0,0.0,83.33,100.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,34.0,33.0,33.0,34.0,33.0,5.08,,-1.02,11.0,-4.05,0.0,2.6,51.0,41.0,1.1,957,chris wade,70,155.0,70,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1,0,1,0,0,38.0,0
3000,rafael dos anjos,benson henderson,23/08/2014,KO/TKO,1.0,2:31,5 Rnd (5-5-5-5-5),Lightweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Southpaw,Southpaw,blue,1.0,23.0,22.96,0.0,0.0,0.0,0.0,33.33,13.33,0.0,22.96,100.0,33.33,31.0,-18.0,-14.0,-17.0,11.0,5.0,-2.54,0.0,0.56,1.0,1.43,-2.0,-0.47,-8.0,-5.0,-0.2,225,rafael dos anjos,68,155.0,68,3.49,0.46,3.22,0.61,1.93,0.37,0.58,0.6,0,0,1,0,41.0,0
3001,jordan mein,mike pyle,23/08/2014,KO/TKO,1.0,1:12,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,blue,1.0,41.0,41.67,0.0,0.0,0.0,-4.0,64.29,0.0,0.0,37.5,0.0,71.43,90.0,0.0,-90.0,-50.0,0.0,50.0,0.0,-2.54,0.61,-1.0,-0.29,9.0,-0.24,23.0,-4.0,-1.3,575,jordan mein,72,170.0,72,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2,0,1,0,0,36.0,0
3002,thales leites,francis carmont,23/08/2014,KO/TKO,2.0,0:20,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,blue,1.0,6.0,7.89,0.0,0.0,0.0,24.0,10.25,0.0,12.5,6.06,-44.44,33.33,11.0,5.0,-16.0,-22.0,16.0,5.0,-5.08,0.0,-0.09,-2.0,1.35,-7.0,0.31,-9.0,-43.0,0.5,493,thales leites,73,185.0,73,2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1,0,1,0,0,44.0,0
3003,max holloway,clay collard,23/08/2014,KO/TKO,3.0,3:47,3 Rnd (5-5-5),Catch Weight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,red,0.0,27.0,28.29,-10.0,0.0,-1.0,45.0,31.36,38.05,-9.57,20.22,15.68,33.77,22.0,-2.0,-20.0,-18.0,-9.0,27.0,0.0,-10.16,3.04,14.0,-0.42,10.0,-2.6,32.0,13.0,-0.2,382,max holloway,71,145.0,71,7.26,0.46,4.58,0.6,0.21,0.71,0.84,0.3,0,1,0,0,34.0,0
3004,james vick,valmir lazaro,23/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,red,1.0,-5.0,-4.12,-40.0,0.0,1.0,-35.0,-6.7,21.26,4.62,-5.42,27.27,0.0,-4.0,3.0,1.0,2.0,-2.0,0.0,7.62,7.62,-0.74,2.0,-0.78,-1.0,-1.07,-7.0,-39.0,0.7,949,james vick,75,155.0,75,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7,0,1,0,0,39.0,0
3005,chas skelly,tom niinimaki,23/08/2014,Submission,1.0,2:35,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,red,0.0,-7.0,-25.0,100.0,0.0,0.0,19.0,-6.82,0.0,0.0,-22.22,50.0,0.0,0.0,0.0,0.0,-50.0,50.0,0.0,5.08,7.62,0.11,-14.0,1.04,-10.0,-1.26,-12.0,0.0,1.9,853,chas skelly,71,145.0,71,2.02,0.4,3.35,0.48,1.71,0.34,0.33,2.4,0,1,0,0,40.0,0
3006,neil magny,alex garcia,23/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,red,0.0,37.0,34.58,8.0,0.0,-1.0,-131.0,20.71,60.71,93.75,19.61,94.44,35.0,-34.0,-5.0,38.0,-39.0,43.0,-5.0,15.24,20.32,1.86,16.0,-0.98,-3.0,-1.26,-7.0,-9.0,0.2,529,neil magny,75,170.0,75,3.67,0.47,2.05,0.56,2.46,0.45,0.57,0.3,0,1,0,0,38.0,0
3007,beneil dariush,anthony rocco martin,23/08/2014,Submission,2.0,3:38,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Southpaw,Orthodox,red,0.0,-5.0,-3.85,41.0,1.0,0.0,-69.0,-21.93,20.83,-28.89,-12.35,14.93,0.0,-47.0,60.0,-12.0,-22.0,22.0,0.0,-5.08,-2.54,1.32,12.0,0.13,1.0,1.32,5.0,13.0,0.0,192,beneil dariush,70,155.0,70,4.0,0.49,2.72,0.59,2.03,0.32,0.81,1.0,0,0,1,0,36.0,0
3008,ben saunders,chris heatherly,23/08/2014,Submission,1.0,2:18,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Orthodox,Orthodox,red,0.0,-14.0,-23.23,-100.0,2.0,0.0,-30.0,-16.67,0.0,100.0,0.0,0.0,-50.0,0.0,-50.0,50.0,0.0,0.0,0.0,12.7,,2.15,5.0,0.91,-1.0,-3.19,-10.0,-34.0,0.6,816,ben saunders,74,170.0,74,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3,0,1,0,0,42.0,0
3009,wilson reis,joby sanchez,23/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",Southpaw,Orthodox,red,-1.0,9.0,15.43,64.0,1.0,-1.0,379.0,2.31,3.64,100.0,9.24,50.0,44.44,-21.0,-11.0,31.0,6.0,9.0,-16.0,-5.08,-7.62,-1.39,-7.0,0.22,-8.0,4.2,-29.0,-4.0,0.2,745,wilson reis,64,125.0,64,1.83,0.29,3.04,0.55,5.15,0.42,0.47,0.6,0,0,1,0,41.0,0
3010,michael bisping,cung le,23/08/2014,KO/TKO,4.0,0:57,5 Rnd (5-5-5-5-5),Middleweight Bout,UFC Fight Night: Bisping vs Le,"Macau, China",Orthodox,Southpaw,red,1.0,0.0,-0.48,0.0,0.0,0.0,3.0,15.38,9.09,-20.0,-1.34,100.0,66.67,50.0,-33.0,-18.0,-5.0,2.0,2.0,10.16,12.7,-0.03,-10.0,-0.27,-1.0,-0.32,-28.0,-25.0,0.0,81,michael bisping,73,185.0,73,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0,1,0,0,47.0,0
3011,tyron woodley,dong hyun kim,23/08/2014,KO/TKO,1.0,1:01,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Bisping vs Le,"Macau, China",Orthodox,Southpaw,red,1.0,36.0,-3.81,0.0,0.0,0.0,50.0,80.0,0.0,100.0,50.0,0.0,85.71,61.0,-93.0,30.0,7.0,-54.0,46.0,-12.7,-5.08,0.21,-1.0,0.83,-3.0,-1.85,-3.0,16.0,-0.2,980,tyron woodley,69,170.0,69,2.33,0.48,2.72,0.55,1.08,0.4,0.87,0.4,0,1,0,0,43.0,0
3012,zhang lipeng,brendan o'reilly,23/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Bisping vs Le,"Macau, China",Southpaw,Orthodox,red,0.0,17.0,11.47,50.0,1.0,-1.0,287.0,8.0,16.67,42.86,4.06,10.71,66.67,-10.0,5.0,5.0,-33.0,11.0,21.0,10.16,5.08,-0.62,1.0,-0.89,14.0,-0.47,-13.0,33.0,0.2,992,zhang lipeng,71,155.0,71,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,0,0,1,0,36.0,0
3013,guangyou ning,jianping yang,23/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd + OT (5-5-5-5),Ultimate Fighter China Featherweight Tournament Title Bout,UFC Fight Night: Bisping vs Le,"Macau, China",Southpaw,Orthodox,red,0.0,8.0,10.54,41.0,1.0,0.0,92.0,11.8,57.14,13.96,5.29,75.0,0.0,22.0,25.0,-48.0,-10.0,9.0,0.0,-7.62,,1.26,15.0,-0.16,-4.0,0.09,25.0,29.0,0.3,641,guangyou ning,64,145.0,64,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3,0,0,1,0,44.0,0
3014,yuta sasaki,roland delorme,23/08/2014,Submission,1.0,1:06,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Bisping vs Le,"Macau, China",Southpaw,Orthodox,blue,0.0,37.0,37.5,0.0,1.0,0.0,32.0,29.17,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,-0.12,-3.0,-1.82,10.0,0.52,9.0,-1.0,-0.4,814,yuta sasaki,70,125.0,70,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2,0,0,1,0,36.0,0
3015,colby covington,anying wang,23/08/2014,KO/TKO,1.0,4:50,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Bisping vs Le,"Macau, China",Orthodox,Orthodox,blue,0.0,64.0,46.43,100.0,0.0,0.0,231.0,60.0,100.0,0.0,100.0,0.0,60.0,48.0,-16.0,-33.0,-15.0,-34.0,48.0,-2.54,,2.8,12.0,1.23,11.0,4.61,50.0,42.0,0.1,173,colby covington,71,170.0,71,4.12,0.38,2.86,0.55,4.61,0.5,0.75,0.1,0,1,0,0,38.0,0
3016,ryan bader,ovince saint preux,16/08/2014,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Light Heavyweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Orthodox,Southpaw,red,0.0,7.0,25.27,-58.0,1.0,0.0,503.0,8.91,-8.65,9.53,0.72,-16.67,60.0,5.0,-13.0,8.0,-29.0,-8.0,37.0,-2.54,-15.24,0.14,-3.0,-1.64,26.0,2.18,4.0,14.0,-0.2,54,ryan bader,74,205.0,74,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,0,1,0,0,42.0,0
3017,tim boetsch,brad tavares,16/08/2014,KO/TKO,2.0,3:18,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Orthodox,Orthodox,red,2.0,8.0,18.57,20.0,0.0,0.0,-222.0,8.79,-20.0,0.0,11.54,-6.67,80.0,1.0,-1.0,0.0,6.0,-35.0,28.0,-2.54,0.0,-0.11,9.0,0.17,1.0,0.48,7.0,-20.0,0.8,86,tim boetsch,72,185.0,72,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,0,1,0,0,45.0,0
3018,alan jouban,seth baczynski,16/08/2014,KO/TKO,1.0,4:23,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Southpaw,Orthodox,blue,1.0,20.0,19.38,-50.0,0.0,0.0,-26.0,8.55,43.33,100.0,16.67,19.23,50.0,-32.0,12.0,20.0,-4.0,4.0,0.0,-7.62,-5.08,2.59,19.0,0.63,9.0,-0.38,28.0,10.0,-0.5,430,alan jouban,72,170.0,72,5.67,0.5,3.77,0.6,0.51,0.44,0.58,0.3,0,0,1,0,44.0,0
3019,shawn jordan,jack may,16/08/2014,KO/TKO,3.0,2:03,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Southpaw,Switch,red,0.0,26.0,32.68,75.0,0.0,0.0,317.0,30.67,4.17,-50.0,21.01,-64.29,73.33,22.0,-13.0,-10.0,-24.0,-45.0,68.0,-20.32,,1.35,12.0,0.01,14.0,1.06,5.0,56.0,0.1,426,shawn jordan,72,260.0,72,2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1,0,0,1,0,41.0,0
3020,thiago tavares,robert peralta,16/08/2014,Submission,1.0,4:27,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Orthodox,Orthodox,red,0.0,58.0,11.43,66.0,1.0,0.0,232.0,58.06,0.0,0.0,0.0,0.0,62.07,100.0,0.0,0.0,0.0,0.0,100.0,-2.54,-2.54,-1.76,-4.0,-0.66,9.0,3.24,-24.0,-3.0,1.5,906,thiago tavares,67,145.0,67,2.0,0.4,2.31,0.62,3.83,0.42,0.62,1.5,0,1,0,0,41.0,0
3021,jussier formiga,zach makovsky,16/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Orthodox,Southpaw,red,0.0,3.0,10.24,25.0,0.0,-1.0,35.0,2.52,50.0,-100.0,3.34,100.0,-8.33,-2.0,9.0,-8.0,1.0,18.0,-20.0,2.54,7.62,-0.52,-4.0,0.1,2.0,-1.89,5.0,31.0,0.3,280,jussier formiga,65,125.0,65,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,0,1,0,0,40.0,0
3022,sara mcmann,lauren murphy,16/08/2014,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Orthodox,Orthodox,red,0.0,-10.0,-24.64,55.0,0.0,0.0,622.0,-14.97,-50.0,0.0,4.23,0.0,-19.82,-25.0,13.0,11.0,24.0,4.0,-28.0,2.54,-2.54,-1.48,7.0,-1.88,-15.0,3.23,28.0,-20.0,0.4,569,sara mcmann,66,135.0,66,2.32,0.45,1.94,0.48,4.41,0.65,0.5,0.5,0,1,0,0,45.0,1
3023,frankie saenz,nolan ticman,16/08/2014,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",Orthodox,Orthodox,blue,0.0,4.0,1.71,55.0,0.0,0.0,329.0,4.02,-25.57,-10.0,-13.01,29.59,-5.56,-6.0,-23.0,28.0,-53.0,54.0,-3.0,0.0,,1.37,0.0,0.97,-15.0,1.74,31.0,1.0,0.1,793,frankie saenz,66,135.0,66,3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,0,1,0,0,45.0,0
