Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age
918,Gleison Tibau,5' 10,155.0,5' 10,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,0,0,1,0,42.0
919,Ilia Topuria,5' 7,145.0,5' 7,2.5,0.45,1.87,0.68,4.25,0.55,1.0,4.2,0,1,0,0,29.0
920,Tecia Torres,5' 1,115.0,5' 1,4.3,0.47,3.37,0.62,0.68,0.15,0.56,0.1,0,1,0,0,36.0
921,Frank Trigg,5' 9,170.0,5' 9,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,0,0,1,0,53.0
922,Michael Trizano,5' 11,155.0,5' 11,3.02,0.53,2.11,0.63,0.4,0.5,0.8,0.8,0,1,0,0,34.0
923,Antonio Trocoli,6' 5,205.0,6' 5,1.27,0.71,4.56,0.25,3.8,1.0,1.0,3.8,0,1,0,0,35.0
924,Francisco Trinaldo,5' 9,155.0,5' 9,3.11,0.44,2.56,0.6,1.09,0.46,0.61,0.6,0,0,1,0,47.0
925,Jon Tuck,5' 11,155.0,5' 11,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0,0,1,0,0,41.0
926,Chris Tuchscherer,6' 2,258.0,6' 2,1.35,0.31,3.17,0.47,1.19,0.18,0.0,0.6,0,1,0,0,50.0
927,Abel Trujillo,5' 8,155.0,5' 8,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,0,1,0,0,42.0
928,Gavin Tucker,5' 6,145.0,5' 6,4.39,0.45,4.28,0.57,2.98,0.42,0.53,1.5,0,0,1,0,39.0
929,Wellington Turman,6' 0,185.0,6' 0,2.75,0.42,3.71,0.45,2.63,0.35,1.0,0.9,0,1,0,0,29.0
930,Jalin Turner,6' 3,155.0,6' 3,6.2,0.47,4.37,0.45,0.71,0.66,0.78,1.8,0,0,1,0,30.0
931,Marcin Tybura,6' 3,249.0,6' 3,3.7,0.5,3.25,0.56,1.62,0.45,0.82,0.1,0,1,0,0,40.0
932,Caol Uno,5' 7,155.0,5' 7,1.91,0.49,1.9,0.5,1.95,0.31,0.37,0.5,0,0,1,0,50.0
933,Kamaru Usman,6' 0,170.0,6' 0,4.66,0.54,2.33,0.58,3.22,0.47,1.0,0.1,0,0,0,1,38.0
934,Darren Uyenoyama,5' 6,125.0,5' 6,1.34,0.39,2.21,0.66,1.42,0.33,0.35,0.7,0,1,0,0,46.0
935,Charlie Valencia,5' 3,135.0,5' 3,2.58,0.37,2.61,0.77,1.4,0.53,0.75,0.5,0,1,0,0,51.0
936,Richie Vaculik,5' 6,125.0,5' 6,3.69,0.46,4.09,0.57,3.0,0.45,0.31,1.0,0,1,0,0,42.0
937,Lando Vannata,5' 9,155.0,5' 9,4.58,0.44,5.1,0.54,1.13,0.37,0.58,0.4,0,1,0,0,34.0
938,Paige VanZant,5' 4,115.0,5' 4,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0,0,1,0,0,32.0
939,Jamie Varner,5' 8,155.0,5' 8,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8,0,1,0,0,41.0
940,Javier Vazquez,5' 7,145.0,5' 7,2.43,0.36,1.99,0.72,2.56,0.52,0.57,1.5,0,0,1,0,48.0
941,Manny Vazquez,5' 10,125.0,5' 10,1.47,0.41,2.67,0.48,1.0,0.33,0.0,1.0,0,1,0,0,32.0
942,Bojan Velickovic,6' 0,170.0,6' 0,2.18,0.34,2.31,0.57,0.67,0.25,0.55,0.5,0,0,1,0,37.0
943,Cain Velasquez,6' 1,240.0,6' 1,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4,0,1,0,0,43.0
944,Karlos Vemola,6' 0,185.0,6' 0,1.67,0.44,2.13,0.37,1.93,0.25,0.31,1.7,0,1,0,0,40.0
945,Brandon Vera,6' 3,230.0,6' 3,3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2,0,1,0,0,48.0
946,Marlon Vera,5' 8,135.0,5' 8,3.65,0.49,3.95,0.52,0.78,0.37,0.7,1.1,0,0,0,1,33.0
947,Marvin Vettori,6' 0,185.0,6' 0,4.78,0.45,3.19,0.66,1.33,0.45,0.78,0.8,0,0,1,0,32.0
948,Polyana Viana,5' 5,115.0,5' 5,3.71,0.41,3.01,0.54,1.12,0.33,0.5,3.4,0,1,0,0,33.0
949,James Vick,6' 3,155.0,6' 3,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7,0,1,0,0,39.0
950,Ketlen Vieira,5' 8,135.0,5' 8,2.66,0.36,3.84,0.53,2.19,0.48,0.92,0.5,0,1,0,0,34.0
951,Reginaldo Vieira,5' 7,135.0,5' 7,3.76,0.4,2.89,0.59,1.97,0.27,0.25,0.8,0,1,0,0,43.0
952,Rodolfo Vieira,6' 0,185.0,6' 0,1.66,0.42,3.06,0.42,7.0,0.47,0.0,1.6,0,1,0,0,36.0
953,Yuri Villefort,6' 0,170.0,6' 0,3.18,0.43,5.42,0.55,2.0,0.35,0.4,0.3,0,1,0,0,35.0
954,Alexander Volkanovski,5' 6,145.0,5' 6,6.02,0.55,3.31,0.6,2.09,0.34,0.72,0.3,0,1,0,0,37.0
955,Jacob Volkmann,5' 9,155.0,5' 9,1.19,0.34,1.78,0.52,3.19,0.48,0.52,2.0,0,0,1,0,45.0
956,Alexander Volkov,6' 7,250.0,6' 7,4.88,0.59,2.48,0.56,0.66,0.7,0.66,0.2,0,1,0,0,37.0
957,Chris Wade,5' 10,155.0,5' 10,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1,0,1,0,0,38.0
958,TJ Waldburger,5' 11,170.0,5' 11,2.02,0.51,2.39,0.4,3.03,0.46,0.4,4.8,0,1,0,0,37.0
959,Rodney Wallace,5' 9,205.0,5' 9,1.13,0.46,3.44,0.45,6.0,0.54,0.28,1.0,0,0,0,1,44.0
960,Johnny Walker,6' 6,205.0,6' 6,4.41,0.72,3.51,0.31,0.4,1.0,0.6,1.2,0,1,0,0,34.0
961,Richard Walsh,6' 0,170.0,6' 0,3.84,0.46,2.72,0.58,1.55,0.4,0.66,0.2,0,1,0,0,37.0
962,Curt Warburton,6' 0,155.0,6' 0,2.13,0.42,3.44,0.43,2.35,0.5,0.83,0.9,0,1,0,0,
963,Michelle Waterson,5' 3,115.0,5' 3,3.58,0.49,4.0,0.49,1.52,0.34,0.67,0.9,0,1,0,0,40.0
964,Brok Weaver,6' 0,155.0,6' 0,4.78,0.64,4.35,0.46,0.41,0.1,0.66,0.4,0,0,1,0,34.0
965,Chris Weidman,6' 2,185.0,6' 2,3.03,0.43,3.15,0.52,3.93,0.47,0.65,0.9,0,1,0,0,41.0
966,Christian Wellisch,6' 2,234.0,6' 2,3.12,0.27,3.04,0.56,1.22,0.42,0.45,1.2,0,1,0,0,50.0
967,Fabricio Werdum,6' 4,231.0,6' 4,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2,0,1,0,0,48.0
968,Coty Wheeler,5' 6,135.0,5' 6,1.88,0.22,3.16,0.59,0.87,0.37,0.33,2.6,0,1,0,0,47.0
969,Alex White,6' 0,155.0,6' 0,3.76,0.42,3.07,0.6,0.92,0.28,0.71,0.5,0,0,1,0,37.0
970,Emily Whitmire,5' 5,115.0,5' 5,2.71,0.3,3.08,0.54,1.1,0.5,0.7,0.6,0,1,0,0,34.0
971,Adam Wieczorek,6' 5,250.0,6' 5,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,0,1,0,0,34.0
972,Mike Wilkinson,5' 7,145.0,5' 7,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9,0,1,0,0,38.0
973,James Wilks,6' 1,170.0,6' 1,1.82,0.45,2.03,0.5,1.27,0.22,0.66,3.8,0,1,0,0,47.0
974,Patrick Williams,5' 8,135.0,5' 8,4.12,0.51,4.12,0.52,2.71,0.41,1.0,0.5,0,1,0,0,44.0
975,Chris Wilson,6' 1,170.0,6' 1,2.32,0.5,1.36,0.55,1.31,0.5,0.6,1.6,0,1,0,0,48.0
976,Matt Wiman,5' 10,155.0,5' 10,3.17,0.5,3.57,0.51,2.13,0.37,0.56,1.5,0,1,0,0,42.0
977,Eddie Wineland,5' 7,135.0,5' 7,3.4,0.29,3.66,0.69,0.34,0.33,0.86,0.1,0,1,0,0,41.0
978,Jason Witt,5' 10,170.0,5' 10,3.16,0.65,2.68,0.29,3.65,0.5,0.0,1.8,0,1,0,0,39.0
979,Nathaniel Wood,5' 6,140.0,5' 6,6.28,0.46,4.36,0.53,1.29,0.46,0.75,0.9,0,1,0,0,32.0
980,Tyron Woodley,5' 9,170.0,5' 9,2.33,0.48,2.72,0.55,1.08,0.4,0.87,0.4,0,1,0,0,43.0
981,Wu Yanan,5' 8,125.0,5' 8,4.51,0.45,4.82,0.51,0.61,0.22,0.66,0.3,0,1,0,0,29.0
982,Rani Yahya,5' 6,135.0,5' 6,1.57,0.37,1.7,0.5,2.89,0.33,0.24,2.0,0,1,0,0,41.0
983,Alexander Yakovlev,6' 3,155.0,6' 3,1.74,0.47,2.41,0.58,1.66,0.35,0.72,0.1,0,0,1,0,41.0
984,Petr Yan,5' 7,135.0,5' 7,5.99,0.52,3.55,0.62,2.14,0.66,0.9,0.1,0,0,0,1,33.0
985,Dongi Yang,5' 10,185.0,5' 10,3.55,0.51,3.21,0.63,1.7,0.41,0.61,0.5,0,0,1,0,41.0
986,Ashley Yoder,5' 7,115.0,5' 7,2.75,0.39,3.53,0.46,1.33,0.37,0.68,0.7,0,0,1,0,38.0
987,Sanghoon Yoo,6' 0,155.0,6' 0,5.0,0.66,7.27,0.27,1.0,1.0,0.75,1.0,0,1,0,0,36.0
988,Yoshiyuki Yoshida,5' 11,170.0,5' 11,0.85,0.36,3.67,0.36,1.41,0.28,0.25,2.8,0,0,1,0,51.0
989,Elizeu Zaleski dos Santos,5' 11,170.0,5' 11,4.05,0.39,3.07,0.59,0.57,0.17,0.52,0.5,0,1,0,0,39.0
990,Youssef Zalal,5' 10,145.0,5' 10,2.45,0.51,1.56,0.64,2.4,0.4,0.56,1.4,0,0,0,1,29.0
991,David Zawada,6' 0,170.0,6' 0,3.24,0.4,4.07,0.54,0.96,0.3,0.57,2.2,0,1,0,0,35.0
992,Zhang Lipeng,5' 11,155.0,5' 11,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,0,0,1,0,36.0
993,Zhang Weili,5' 4,115.0,5' 4,6.38,0.45,4.43,0.53,1.26,0.23,1.0,0.5,0,0,0,1,36.0
994,Cat Zingano,5' 6,145.0,5' 6,2.57,0.61,1.63,0.47,2.77,0.65,0.42,0.8,0,0,1,0,43.0
995,Zhang Tiequan,5' 8,155.0,5' 8,1.23,0.36,2.14,0.51,1.95,0.58,0.75,3.4,0,1,0,0,47.0
