Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age
656,Aleksei Oleinik,6' 2,240.0,6' 2,3.47,0.5,3.85,0.44,2.38,0.46,0.33,2.4,0,1,0,0,48.0
657,Rafaello Oliveira,5' 8,155.0,5' 8,2.19,0.33,3.38,0.59,2.49,0.36,0.11,1.6,0,1,0,0,44.0
658,Charles Oliveira,5' 10,155.0,5' 10,3.22,0.52,2.94,0.54,2.64,0.44,0.57,2.8,0,1,0,0,36.0
659,Alex Oliveira,5' 11,170.0,5' 11,2.87,0.5,2.18,0.48,2.41,0.37,0.63,0.6,0,1,0,0,38.0
660,Cameron Olson,6' 1,205.0,6' 1,3.13,0.47,2.2,0.57,3.0,0.42,1.0,1.0,0,1,0,0,36.0
661,Daniel Omielanczuk,6' 0,247.0,6' 0,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,0,0,1,0,43.0
662,Michihiro Omigawa,5' 6,145.0,5' 6,2.01,0.39,3.06,0.64,1.19,0.36,0.49,1.5,0,1,0,0,50.0
663,Brian Ortega,5' 8,145.0,5' 8,4.29,0.38,6.28,0.52,0.8,0.21,0.56,1.1,0,0,0,1,35.0
664,Tito Ortiz,6' 3,205.0,6' 3,2.59,0.46,2.88,0.6,2.47,0.35,0.54,0.6,0,1,0,0,51.0
665,Ode Osbourne,5' 7,145.0,5' 7,4.3,0.54,3.04,0.42,1.9,1.0,0.66,1.9,0,0,1,0,34.0
666,Kenji Osawa,5' 7,135.0,5' 7,2.34,0.35,2.14,0.63,0.91,0.58,0.68,0.7,0,1,0,0,49.0
667,Nick Osipczak,6' 2,170.0,6' 2,2.83,0.5,3.77,0.5,1.2,0.45,0.71,1.0,0,1,0,0,41.0
668,Dustin Ortiz,5' 5,125.0,5' 5,2.94,0.44,2.17,0.56,3.01,0.36,0.52,0.1,0,1,0,0,37.0
669,Rachael Ostovich,5' 3,125.0,5' 3,2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8,0,1,0,0,35.0
670,Zak Ottow,5' 11,170.0,5' 11,2.63,0.36,2.73,0.58,0.97,0.29,0.57,0.4,0,1,0,0,39.0
671,Sidney Outlaw,5' 8,170.0,5' 8,0.13,0.33,0.8,0.71,3.0,0.75,0.0,3.0,0,1,0,0,33.0
672,Alistair Overeem,6' 4,265.0,6' 4,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8,0,1,0,0,45.0
673,Nick Pace,5' 7,135.0,5' 7,1.48,0.34,3.14,0.57,2.52,0.43,0.54,0.5,0,1,0,0,38.0
674,Teemu Packalen,6' 1,155.0,6' 1,2.57,0.54,3.91,0.47,2.31,0.25,1.0,1.5,0,1,0,0,38.0
675,Damacio Page,5' 6,135.0,5' 6,2.05,0.38,2.47,0.51,2.63,0.64,0.23,0.9,0,1,0,0,43.0
676,Dustin Pague,5' 9,135.0,5' 9,1.65,0.53,2.96,0.41,1.03,0.44,0.55,2.6,0,1,0,0,38.0
677,Raulian Paiva,5' 8,125.0,5' 8,4.46,0.43,4.89,0.51,0.26,0.2,0.8,0.3,0,1,0,0,30.0
678,Fredson Paixao,5' 6,145.0,5' 6,1.71,0.54,2.31,0.62,0.62,0.11,0.1,2.2,0,1,0,0,46.0
679,Bart Palaszewski,5' 9,145.0,5' 9,2.67,0.32,3.97,0.57,0.65,0.31,0.53,0.5,0,1,0,0,42.0
680,Rousimar Palhares,5' 8,170.0,5' 8,1.75,0.51,2.04,0.59,3.93,0.45,0.0,4.1,0,1,0,0,46.0
681,Alexandre Pantoja,5' 5,125.0,5' 5,4.3,0.47,3.39,0.53,0.94,0.35,0.68,0.9,0,1,0,0,35.0
682,Karo Parisyan,5' 10,170.0,5' 10,2.49,0.41,2.19,0.58,5.27,0.59,0.59,1.0,0,1,0,0,43.0
683,Claude Patrick,5' 11,170.0,5' 11,1.8,0.55,0.89,0.69,2.32,0.53,0.84,1.7,0,1,0,0,45.0
684,Alan Patrick,5' 11,155.0,5' 11,1.79,0.4,2.64,0.43,3.48,0.38,0.5,0.3,0,0,1,0,42.0
685,Jonathan Pearce,6' 0,145.0,6' 0,8.8,0.55,6.65,0.46,5.91,0.6,0.75,0.7,0,0,0,1,33.0
686,Tyson Pedro,6' 3,205.0,6' 3,2.7,0.62,2.55,0.48,0.74,0.25,0.52,1.5,0,1,0,0,34.0
687,Julianna Pena,5' 6,135.0,5' 6,2.8,0.47,1.7,0.53,2.49,0.53,0.23,0.8,0,1,0,0,36.0
688,Kurt Pellegrino,5' 8,155.0,5' 8,2.45,0.43,1.94,0.63,2.9,0.54,0.69,0.8,0,1,0,0,46.0
689,Luis Pena,6' 3,155.0,6' 3,3.26,0.47,2.74,0.5,1.37,0.33,0.45,1.4,0,0,1,0,32.0
690,Cathal Pendred,6' 1,170.0,6' 1,2.49,0.44,3.01,0.55,2.46,0.23,0.83,0.4,0,1,0,0,38.0
691,BJ Penn,5' 9,155.0,5' 9,2.76,0.48,3.2,0.56,1.19,0.55,0.74,0.5,0,1,0,0,47.0
692,Jessica Penne,5' 5,115.0,5' 5,2.46,0.33,4.73,0.48,1.58,0.25,0.2,0.6,0,1,0,0,43.0
693,Raquel Pennington,5' 7,135.0,5' 7,3.62,0.48,3.2,0.63,1.12,0.28,0.65,0.7,0,1,0,0,37.0
694,Godofredo Pepey,5' 7,145.0,5' 7,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5,0,1,0,0,38.0
695,Michel Pereira,6' 1,170.0,6' 1,3.74,0.54,2.84,0.58,1.76,0.7,1.0,0.5,0,1,0,0,32.0
696,Viviane Pereira,5' 1,115.0,5' 1,2.7,0.3,4.48,0.58,0.25,1.0,0.28,0.2,0,1,0,0,32.0
697,Erik Perez,5' 8,135.0,5' 8,3.16,0.4,2.09,0.66,3.16,0.55,0.69,0.2,0,1,0,0,36.0
698,Frankie Perez,5' 11,155.0,5' 11,1.64,0.41,2.17,0.54,1.75,0.41,0.5,0.3,0,1,0,0,36.0
699,Alejandro Perez,5' 6,145.0,5' 6,3.52,0.35,2.94,0.64,0.52,0.2,0.73,0.1,0,1,0,0,36.0
700,Markus Perez,6' 1,185.0,6' 1,2.6,0.47,3.72,0.52,0.81,0.25,0.77,1.0,0,1,0,0,37.0
