,Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age,Female
267,267,Deiveson Figueiredo,65,125.0,65,3.38,0.56,3.35,0.5,1.57,0.5,0.61,2.4,0,1,0,0,38.0,0
268,268,Edwin Figueroa,67,135.0,67,2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6,0,1,0,0,41.0,0
269,269,Andre Fili,71,145.0,71,3.73,0.36,3.9,0.52,2.5,0.49,0.64,0.2,0,1,0,0,35.0,0
270,270,Mirko Filipovic,74,230.0,74,2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3,0,0,1,0,51.0,0
271,271,Luigi Fioravanti,68,170.0,68,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,0,1,0,0,45.0,0
272,272,Spencer Fisher,67,155.0,67,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,0,0,1,0,49.0,0
273,273,Chris Fishgold,68,145.0,68,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3,0,1,0,0,33.0,0
274,274,Jimmy Flick,67,125.0,67,1.99,0.58,2.3,0.5,1.81,0.5,0.0,7.2,0,1,0,0,35.0,0
275,275,Jon Fitch,72,170.0,72,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8,0,1,0,0,48.0,0
276,276,Kenny Florian,70,145.0,70,2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3,0,0,1,0,49.0,0
277,277,Rob Font,68,135.0,68,5.21,0.42,3.83,0.62,1.2,0.36,0.48,0.8,0,1,0,0,38.0,0
278,278,Jesse Forbes,74,185.0,74,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2,0,0,1,0,41.0,0
279,279,Marcel Fortuna,73,205.0,73,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5,0,1,0,0,40.0,0
280,280,Jussier Formiga,65,125.0,65,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,0,1,0,0,40.0,0
281,281,Brian Foster,69,170.0,69,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8,0,1,0,0,42.0,0
282,282,John Franchi,66,145.0,66,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3,0,1,0,0,43.0,0
283,283,Hermes Franca,66,155.0,66,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,0,1,0,0,51.0,0
284,284,Glaico Franca Moreira,72,155.0,72,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3,0,1,0,0,35.0,0
285,285,Rich Franklin,73,185.0,73,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7,0,0,1,0,51.0,0
286,286,Patricio Freire,65,145.0,65,2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6,0,0,0,0,38.0,0
287,287,Matt Frevola,69,155.0,69,2.73,0.37,3.44,0.58,2.59,0.37,0.4,1.1,0,1,0,0,35.0,0
288,288,Jinh Yu Frey,63,115.0,63,1.79,0.4,3.35,0.44,1.06,0.42,0.83,0.7,0,0,1,0,40.0,1
289,289,Claudia Gadelha,64,115.0,64,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7,0,1,0,0,37.0,1
290,290,Mitch Gagnon,65,135.0,65,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9,0,0,1,0,41.0,0
291,291,Mickey Gall,74,170.0,74,2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1,0,0,0,1,34.0,0
292,292,Manvel Gamburyan,65,135.0,65,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,0,1,0,0,44.0,0
293,293,Ciryl Gane,76,245.0,76,5.04,0.55,1.85,0.69,1.13,0.26,1.0,0.5,0,1,0,0,35.0,0
294,294,Leonard Garcia,70,145.0,70,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5,0,1,0,0,46.0,0
295,295,Edgar Garcia,70,170.0,70,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,0,1,0,0,42.0,0
296,296,Alex Garcia,69,170.0,69,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,0,1,0,0,38.0,0
297,297,Steve Garcia,72,155.0,72,4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6,0,0,1,0,33.0,0
298,298,Elias Garcia,65,125.0,65,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4,0,0,1,0,33.0,0
